trust_1	populism_1	populism_2	populism_3	populism_4	populism_5	age	gender	hhi	hispanic	cov_beh_sum	cons_biowpn	cons_covax	cons_biowpn_dummy	cons_covax_dummy	white	highered	idlg	pid3	pid2	md_radio	md_national	md_broadcast	md_localtv	md_localpap	md_fox	md_con	md_agg	weight	rw_news	ms_news
4	4	4	4	4	4	37	1	20	0	8.0	4.0	4.0	1.0	1.0	1.0	1.0	7.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.68068993	4.0	4.0
2	4	4	4	4	4	68	2	3	0	7.0	4.0	4.0	1.0	1.0	1.0	1.0	7.0	3.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	0.68068993	1.0	1.5
4	4	4	4	4	4	31	1	20	0	5.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	0.68068993	3.5	3.8333333
4	3	4	3	4	2	82	2	6	0	10.0	2.0	2.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	3.0	1.0	1.0	0.9664874	2.0	2.5
4	3	4	1	1	1	18	2	8	0	13.0	1.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	3.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	0.68068993	1.0	1.8333334
1	4	4	4	4	4	26	2	1	0	1.0	4.0	4.0	1.0	1.0	0.0	0.0		3.0	2.0	4.0	1.0	4.0	4.0	1.0	4.0	1.0	1.0	1.4648074	2.5	2.5
3	2	3	3	3	3	66	1	6	0	12.0	1.0	1.0	0.0	0.0	1.0	0.0	6.0	2.0	2.0	1.0	3.0	4.0	4.0	1.0	4.0	1.0	1.0	0.9664874	2.5	2.3333333
4	2	3	2	2	2	72	2	8	0	15.0	1.0	1.0	0.0	0.0	1.0	0.0	6.0	3.0	2.0	1.0	1.0	4.0	4.0	4.0	3.0	1.0	1.0	0.9664874	2.0	2.5
1	4	4	3	2	1	77	1	3	0	11.0	3.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	2.0	1.0	1.0	2.0	0.9664874	1.0	2.1666667
4	2	4	4	4	1	68	1	21	0	5.0	2.0	1.0	0.0	0.0	1.0	1.0	4.0	1.0	1.0	2.0	3.0	4.0	4.0	3.0	2.0	2.0	3.0	0.68068993	2.0	3.1666667
4	4	4	4	4	3	73	1	2	0	7.0	3.0	3.0	1.0	1.0	1.0	0.0		1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.0
3	4	4	4	4	4	71	1	2	0	8.0	3.0	2.0	1.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.8333334
4	3	4	3	2	1	60	2	10	0	11.0	1.0	1.0	0.0	0.0	1.0	0.0	6.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	3.0	0.9664874	1.0	2.3333333
4	2	1	3	2	1	21	2		0	19.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	3.0	3.0	2.0	1.0	1.0	1.0	0.68068993	1.0	2.0
3	4	4	4	4	4	35	2	13	0	3.0	4.0	4.0	1.0	1.0	1.0	0.0	4.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.9664874	4.0	4.0
4	4	4	4	4	4	40	1	21	0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.68068993	3.0	3.0
4	3	3	3	2	3	70	1	4	0	11.0	3.0	3.0	1.0	1.0	0.0	0.0		2.0	1.0	2.0	3.0	3.0	4.0	4.0	4.0	1.0	1.0	1.4648074	2.5	2.8333333
4	4	3	4	4	3	40	1	21	0	18.0	4.0	2.0	1.0	0.0	1.0	1.0	2.0	3.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	0.68068993	4.0	3.5
4	4	4	4	4	4	31	1	14	0	4.0	4.0	4.0	1.0	1.0	1.0	0.0	7.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.9664874	4.0	4.0
4	4	4	4	3	1	63	1	4	0	12.0	2.0	1.0	0.0	0.0	1.0	0.0		1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.6666666
4	3	4	3	2	2	60	2	4	0	10.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	2.0	0.9664874	3.0	3.1666667
4	4	4	1	1	1	69	2	22	0	12.0	1.0	1.0	0.0	0.0	1.0	0.0		1.0	1.0	1.0	4.0	1.0	3.0	4.0	1.0	1.0	4.0	0.9664874	1.0	2.8333333
3	3	4	1	3	1	73	2	9	0	10.0	1.0	1.0	0.0	0.0	1.0	0.0	7.0	3.0	2.0	1.0	1.0	1.0	3.0	1.0	4.0	4.0	1.0	0.9664874	4.0	1.3333334
2	4	4	4	4	4	59	2	11	0	2.0	2.0	2.0	0.0	0.0	1.0	0.0		2.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	3.0	0.9664874	1.5	1.6666666
4	3	4	3	3	1	74	1	21	0	17.0	3.0	2.0	1.0	0.0	1.0	1.0		1.0	1.0	1.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	0.68068993	1.0	2.5
4	1	3	1	3	1	67	2	5	0	12.0	1.0	1.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	3.0	1.0	1.0	0.9664874	2.0	2.0
3	3	3	3	3	3	30	2	1	0	1.0	3.0	3.0	1.0	1.0	1.0	0.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.9664874	4.0	4.0
4	2	4	4	3	2	49	1	9	0	14.0	3.0	1.0	1.0	0.0	1.0	1.0	6.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	3.0	0.68068993	1.5	3.1666667
4	2	4	3	4	3	41	2	2	0	14.0	3.0	4.0	1.0	1.0	1.0	0.0	7.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	4.0	3.0	1.0	0.9664874	3.5	2.0
4	3	4	4	3	4	37	1	19	1	3.0	4.0	1.0	1.0	0.0	1.0	1.0	1.0	3.0	2.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	0.8602093	3.5	3.6666667
4	1	4	1	2	2	77	1	14	0	14.0	3.0	1.0	1.0	0.0	1.0	1.0	7.0	3.0	2.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	1.0	0.68068993	4.0	3.0
3	2	3	2	2	2	33	2	2	0	4.0	2.0	2.0	0.0	0.0	1.0	0.0				1.0	1.0	1.0	3.0	1.0	3.0	3.0	1.0	0.9664874	3.0	1.3333334
4	3	2	3	4	2	26	1	23	0	10.0	1.0	1.0	0.0	0.0	0.0	1.0		1.0	1.0	4.0	2.0	3.0	4.0	2.0	2.0	4.0	2.0	1.0316527	3.0	2.8333333
4	3	4	3	4	2	42	1	2	0	18.0	3.0	3.0	1.0	1.0	1.0	0.0	6.0	3.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	0.9664874	4.0	3.6666667
3	3	3	4	3	2	59	2	1	0	7.0	2.0	2.0	0.0	0.0	1.0	0.0	5.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	0.9664874	1.0	1.8333334
3	2	3	2	2	3	49	2	23	0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	6.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	1.0	1.4648074	2.5	2.3333333
4	3	3	2	1	1	67	2	9	0	16.0	1.0	3.0	0.0	1.0	1.0	1.0		1.0	1.0	3.0	4.0	3.0	3.0	2.0	1.0	1.0	2.0	0.68068993	1.0	2.8333333
4	4	3	2	2	1	56	2	2	0	9.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	4.0	1.0	1.0	0.9664874	2.5	2.0
4	3	2	3	3	2	21	2	9	0	18.0	2.0	3.0	0.0	1.0	0.0	0.0	5.0	1.0	1.0	2.0	1.0	3.0	4.0	1.0	3.0	1.0	1.0	1.4648074	2.0	2.0
3	1	3	4	2	1	57	2	11	0	3.0	3.0	1.0	1.0	0.0	1.0	1.0	4.0	2.0	2.0	4.0	2.0	4.0	4.0	1.0	4.0	4.0	4.0	0.68068993	4.0	3.1666667
4	4	4	4	4	4	40	1	19	0	2.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	0.68068993	2.5	3.0
4	4	4	4	4	3	70	1	18	0	12.0	1.0	1.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	1.0	0.9664874	1.0	1.6666666
4	2	4	1	1	1	46	2	14	1	17.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	4.0	1.0	1.0	4.0	1.0	1.0	4.0	1.2213807	1.0	2.6666667
4	4	4	4	3	4	69	2	15	0	12.0	2.0	1.0	0.0	0.0	1.0	0.0	5.0	2.0	2.0	1.0	1.0	4.0	4.0	1.0	2.0	1.0	1.0	0.9664874	1.5	2.0
1	2	2	2	2	2	20	1	24	0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.0
2	3	4	1	3	3	31	2	13	0	10.0	2.0	3.0	0.0	1.0	0.0	1.0	5.0	1.0	1.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	1.0316527	2.5	3.5
3	3	3	3	4	4	41	1	19	1	2.0	4.0	4.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	1.2213807	3.5	3.6666667
4	3	3	3	2	2	36	2	16	0	13.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	3.0	2.0	3.0	3.0	3.0	4.0	4.0	2.0	1.0	2.0	0.68068993	1.5	3.1666667
4	3	4	3	4	3	33	2	1	0	2.0	3.0	4.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.9664874	4.0	4.0
2	2	3	2	3	2	21	2	2	0	11.0	3.0	2.0	1.0	0.0	0.0	0.0		3.0	2.0	4.0	2.0	3.0	4.0	1.0	1.0	1.0	3.0	1.4648074	1.0	2.8333333
2	4	3	3	4	2	49	1	21	0	7.0	3.0	1.0	1.0	0.0	1.0	1.0	7.0	3.0	2.0	1.0	1.0	1.0	3.0	1.0	4.0	3.0	1.0	0.68068993	3.5	1.3333334
4	3	4	3	2	1	41	2	9	0	8.0	2.0	3.0	0.0	1.0	1.0	0.0		1.0	1.0	3.0	3.0	4.0	4.0	3.0	1.0	1.0	2.0	0.9664874	1.0	3.1666667
1	2	2	3	3	2	18	1	19	0	6.0	2.0	3.0	0.0	1.0	0.0	0.0	4.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.4648074	2.0	1.1666666
3	3	4	2	1	1	22	1	19	1	11.0	1.0	1.0	0.0	0.0	1.0	1.0	3.0	1.0	1.0	2.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	0.8602093	3.5	2.8333333
2	3	3	3	3	3	20	2	9	0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.4648074	1.0	1.3333334
3	2	3	2	2	2	65	1	18	0	7.0	2.0	2.0	0.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	1.0	2.0	1.0	0.68068993	1.5	1.8333334
4	3	3	2	3	2	71	1	14	0	10.0	2.0	1.0	0.0	0.0	1.0	1.0	7.0	3.0	2.0	1.0	2.0	4.0	3.0	1.0	4.0	2.0	1.0	0.68068993	3.0	2.0
3	3	2	3	3	3	26	1	1		8.0	3.0	3.0	1.0	1.0	1.0	0.0	6.0	3.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0		3.0	3.1666667
4	3	3	3	2	1	62	1	6	0	13.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	2.0	1.0	2.0	4.0	4.0	4.0	4.0	1.0	1.0	3.0	0.68068993	1.0	3.5
3	4	4	1	3	2	58	1	19	0	16.0	2.0	1.0	0.0	0.0	1.0	0.0	7.0	3.0	2.0	4.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	0.9664874	4.0	2.1666667
3	2	3	3	3	2	57	2	22	0	13.0	1.0	2.0	0.0	0.0	1.0	0.0	4.0	2.0	2.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.0
3	4	4	3	4	3	67	2	4	0	15.0	3.0	2.0	1.0	0.0	1.0	0.0	7.0	3.0	2.0	1.0	1.0	3.0	4.0	1.0	3.0	3.0	1.0	0.9664874	3.0	1.8333334
4	3	4	3	1	1	28	1	9	0	16.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.4648074	3.0	3.0
4	3	4	4	3	2	72	2	12	0	3.0	2.0	2.0	0.0	0.0	1.0	1.0	3.0	2.0	1.0	3.0	3.0	4.0	4.0	3.0	1.0	1.0	1.0	0.68068993	1.0	3.0
3	4	4	1	1	1	71	2	6	0	16.0	4.0	4.0	1.0	1.0	0.0	0.0	5.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	1.4648074	3.5	3.6666667
3	2	4	2	3	2	61	2	20	0	13.0	1.0	1.0	0.0	0.0	1.0	1.0	6.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	4.0	0.68068993	1.5	2.3333333
4	1	3	2	1	1	45	1	15	0	10.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	2.0	1.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	3.0	1.0316527	1.0	3.8333333
3	2	3	4	1	4	67	1	12	0	15.0	1.0	1.0	0.0	0.0	1.0	0.0	6.0	3.0	2.0	1.0	3.0	2.0	4.0	1.0	2.0	1.0	1.0	0.9664874	1.5	2.0
3	2	3	3	2	3	42	2	3	0	1.0	3.0	3.0	1.0	1.0	1.0	0.0	5.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.9664874	3.0	3.0
3	3	2	2	2	2	38	2	9	0	9.0	1.0	3.0	0.0	1.0	1.0	0.0				1.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.0
4	4	3	4	3	4	26	1	14	0	20.0	4.0	3.0	1.0	1.0	1.0	0.0	6.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.9664874	4.0	4.0
3	3	4	3	3	4	22	2	9	0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	0.68068993	3.5	3.3333333
4	3	3	3	1	1	36	1	12		7.0	1.0	1.0	0.0	0.0		1.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	4.0		1.0	2.3333333
3	3	4	3	2	2	67	2	4	0	15.0	1.0	2.0	0.0	0.0	1.0	0.0	4.0			1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.0
3	4	4	3	4	3	45	1	22	0	4.0	4.0	3.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	0.68068993	3.0	3.3333333
4	3	3	2	3	2	39	1	8	0	5.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	2.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	0.9664874	1.0	2.0
4	3	3	3	2	2	48	1	24	0	14.0	4.0	3.0	1.0	1.0	0.0	1.0	4.0	1.0	1.0	4.0	4.0	4.0	3.0	4.0	4.0	1.0	4.0	1.0316527	2.5	3.8333333
3	3	4	3	3	3	61	2	6	1	7.0	2.0	2.0	0.0	0.0	1.0	0.0	5.0	3.0	2.0	2.0	2.0	4.0	4.0	2.0	1.0	1.0	1.0	1.2213807	1.0	2.5
2	2	3	3	3	3	54	1	21	0	11.0	2.0	3.0	0.0	1.0	1.0	1.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	0.68068993	2.0	2.6666667
